wellName,datasetName,MD,GR
,,M,gAPI
GAG-  2A,PUBLIC_000,43.8912,27.516
GAG-  2A,PUBLIC_000,44.0436,25.875
GAG-  2A,PUBLIC_000,44.196,23.312
GAG-  2A,PUBLIC_000,44.3484,23.016
GAG-  2A,PUBLIC_000,44.5008,24.953
GAG-  2A,PUBLIC_000,44.6532,26.609
GAG-  2A,PUBLIC_000,44.8056,26.297
GAG-  2A,PUBLIC_000,44.958,24.953
GAG-  2A,PUBLIC_000,45.1104,24.547
GAG-  2A,PUBLIC_000,45.2628,25.438
GAG-  2A,PUBLIC_000,45.4152,27.172
GAG-  2A,PUBLIC_000,45.5676,26.891
GAG-  2A,PUBLIC_000,45.72,24.656
GAG-  2A,PUBLIC_000,45.8724,22.609
GAG-  2A,PUBLIC_000,46.0248,24.547
GAG-  2A,PUBLIC_000,46.1772,25.844
GAG-  2A,PUBLIC_000,46.3296,26.25
GAG-  2A,PUBLIC_000,46.482,26
GAG-  2A,PUBLIC_000,46.6344,24.125
GAG-  2A,PUBLIC_000,46.7868,24.438
GAG-  2A,PUBLIC_000,46.9392,23.734
GAG-  2A,PUBLIC_000,47.0916,23
GAG-  2A,PUBLIC_000,47.244,25.25
GAG-  2A,PUBLIC_000,47.3964,23.969
GAG-  2A,PUBLIC_000,47.5488,24.375
GAG-  2A,PUBLIC_000,47.7012,22.812
GAG-  2A,PUBLIC_000,47.8536,21.781
GAG-  2A,PUBLIC_000,48.006,23.031
GAG-  2A,PUBLIC_000,48.1584,23.906
GAG-  2A,PUBLIC_000,48.3108,27.141
GAG-  2A,PUBLIC_000,48.4632,25.203
GAG-  2A,PUBLIC_000,48.6156,24.547
GAG-  2A,PUBLIC_000,48.768,21.625
GAG-  2A,PUBLIC_000,48.9204,23.219
GAG-  2A,PUBLIC_000,49.0728,21.672
GAG-  2A,PUBLIC_000,49.2252,24.938
GAG-  2A,PUBLIC_000,49.3776,25.344
GAG-  2A,PUBLIC_000,49.53,25.969
GAG-  2A,PUBLIC_000,49.6824,28.328
GAG-  2A,PUBLIC_000,49.8348,29.031
GAG-  2A,PUBLIC_000,49.9872,31.094
GAG-  2A,PUBLIC_000,50.1396,26.859
GAG-  2A,PUBLIC_000,50.292,27.703
GAG-  2A,PUBLIC_000,50.4444,27.594
GAG-  2A,PUBLIC_000,50.5968,30.812
GAG-  2A,PUBLIC_000,50.7492,28.984
GAG-  2A,PUBLIC_000,50.9016,30.953
GAG-  2A,PUBLIC_000,51.054,30.281
GAG-  2A,PUBLIC_000,51.2064,31.812
GAG-  2A,PUBLIC_000,51.3588,28.281
GAG-  2A,PUBLIC_000,51.5112,25.688
GAG-  2A,PUBLIC_000,51.6636,26.031
GAG-  2A,PUBLIC_000,51.816,27.266
GAG-  2A,PUBLIC_000,51.9684,29.5
GAG-  2A,PUBLIC_000,52.1208,29.531
GAG-  2A,PUBLIC_000,52.2732,31.5
GAG-  2A,PUBLIC_000,52.4256,30.609
GAG-  2A,PUBLIC_000,52.578,30.844
GAG-  2A,PUBLIC_000,52.7304,31.797
